No,Module,Area,Method,Path,Protocol,HTTP,Purpose,Page,UIBinding,IntegrationClass,HookOrClient,Permission,Invalidation,RequiredBeforeDone,TestEvidence,InitialStatus,GapOrException
1,AI Assistant,Conversations,POST,/api/v1/ai-assistant/conversations,REST,201,Tạo conversation mới,W5-AIA-01 / W5-AIA-02,NewConversationDialog,UI_ACTION,useTOConversationMIMutation,AI_ASSISTANT_USE,conversations list/detail,YES,E2E-W5-API-001,MAPPED,—
2,AI Assistant,Conversations,GET,/api/v1/ai-assistant/conversations,REST,200,Danh sách conversations của actor (paginated),W5-AIA-01 / W5-AIA-02,ConversationList,UI_READ,useDanhSChConversationsCAQuery,AI_ASSISTANT_USE,None,YES,E2E-W5-API-002,MAPPED,—
3,AI Assistant,Conversations,GET,/api/v1/ai-assistant/conversations/{id},REST,200,Lấy chi tiết conversation,W5-AIA-01 / W5-AIA-02,ConversationWorkspaceLoader,UI_READ,useLYChiTiTConversationQuery,AI_ASSISTANT_USE,None,YES,E2E-W5-API-003,MAPPED,—
4,AI Assistant,Conversations,PATCH,/api/v1/ai-assistant/conversations/{id}/title,REST,200,Đổi tên conversation,W5-AIA-01 / W5-AIA-02,RenameConversationDialog,UI_ACTION,useITNConversationMutation,AI_ASSISTANT_USE,conversations list/detail,YES,E2E-W5-API-004,MAPPED,—
5,AI Assistant,Conversations,DELETE,/api/v1/ai-assistant/conversations/{id},REST,204,Soft-delete conversation,W5-AIA-01 / W5-AIA-02,DeleteConversationDialog,UI_ACTION,useSoftDeleteConversationMutation,AI_ASSISTANT_USE,conversations list/detail,YES,E2E-W5-API-005,MAPPED,—
6,AI Assistant,Conversations,POST,/api/v1/ai-assistant/conversations/{id}/archive,REST,200,Archive conversation,W5-AIA-01 / W5-AIA-02,ArchiveConversationAction,UI_ACTION,useArchiveConversationMutation,AI_ASSISTANT_USE,conversations list/detail,YES,E2E-W5-API-006,MAPPED,—
7,AI Assistant,Messages & Streaming,POST,/api/v1/ai-assistant/conversations/{conversationId}/messages,REST → SSE,202,"Gửi message, nhận `streamUrl`",W5-AIA-02,ChatComposer / SendMessageController,UI_ACTION,useGIMessageNhNStreamUrlMutation,AI_ASSISTANT_USE,"conversation messages, conversation summary",YES,E2E-W5-API-007,MAPPED,—
8,AI Assistant,Messages & Streaming,GET,/api/v1/ai-assistant/messages/{messageId}/stream,SSE,200,Stream token-by-token qua SSE,W5-AIA-02,AiStreamController / StreamingAssistantMessage,UI_STREAM,useAiMessageSseStream,AI_ASSISTANT_USE,None,YES,E2E-W5-API-008,MAPPED,—
9,AI Assistant,Messages & Streaming,GET,/api/v1/ai-assistant/conversations/{conversationId}/messages,REST,200,Lịch sử messages (paginated),W5-AIA-02,ChatHistoryVirtualList,UI_READ,useLChSMessagesPaginatedQuery,AI_ASSISTANT_USE,None,YES,E2E-W5-API-009,MAPPED,—
10,AI Assistant,Messages & Streaming,GET,/api/v1/ai-assistant/messages/{messageId},REST,200,Lấy chi tiết một message,W5-AIA-02,MessageDetailInspector,UI_READ,useLYChiTiTMQuery,AI_ASSISTANT_USE,None,YES,E2E-W5-API-010,MAPPED,—
